date,weekday,month,year,steps,distance_km,active_kcal,music_minutes_total,music_unique_artists,music_main_context,podcast_minutes_total,podcast_main_topic,netflix_minutes_total,netflix_interactions,netflix_content_topic,ml_purchases,ml_main_category
2025-10-20,Monday,10,2025,7908.0,5.4,201,62,35,usa,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-10-21,Tuesday,10,2025,8964.0,6.2,224,0,0,sin_musica,0,sin_podcast,44,4,cultural_historico,0,sin_compras
2025-10-22,Wednesday,10,2025,7395.0,5.2,169,27,33,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-10-23,Thursday,10,2025,8158.0,5.7,228,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-10-24,Friday,10,2025,4520.0,3.1,105,102,27,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-10-25,Saturday,10,2025,7884.0,5.1,151,86,8,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-10-26,Sunday,10,2025,7267.0,5.1,158,0,1,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-10-27,Monday,10,2025,4338.0,3.2,139,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-10-28,Tuesday,10,2025,4251.0,3.1,101,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-10-29,Wednesday,10,2025,6252.0,4.3,179,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-10-30,Thursday,10,2025,8310.0,5.8,215,13,3,argentina,0,sin_podcast,0,0,sin_netflix,2,tecnologia
2025-10-31,Friday,10,2025,4407.0,2.9,95,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-01,Saturday,11,2025,6569.0,4.4,151,65,25,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-02,Sunday,11,2025,1333.0,0.9,24,60,20,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-03,Monday,11,2025,5451.0,3.9,171,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,2,hogar
2025-11-04,Tuesday,11,2025,9580.0,6.9,271,14,7,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-05,Wednesday,11,2025,6189.0,4.2,152,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-06,Thursday,11,2025,10965.0,7.7,311,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-07,Friday,11,2025,2512.0,1.7,61,7,4,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-08,Saturday,11,2025,5387.0,3.6,115,24,20,argentina,0,sin_podcast,222,14,crimen_thriller,0,sin_compras
2025-11-09,Sunday,11,2025,6008.0,4.0,149,45,17,no_determinado,0,cultural,327,16,drama_emocional,0,sin_compras
2025-11-10,Monday,11,2025,6150.0,4.3,154,64,36,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-11,Tuesday,11,2025,8726.0,6.1,234,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-12,Wednesday,11,2025,5887.0,4.1,164,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-13,Thursday,11,2025,8906.0,6.3,234,0,2,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-14,Friday,11,2025,2916.0,2.1,40,13,20,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-15,Saturday,11,2025,8328.0,5.7,181,2,2,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-11-16,Sunday,11,2025,67.0,0.0,1,4,13,argentina,0,sin_podcast,154,11,drama_emocional,1,indumentaria
2025-11-17,Monday,11,2025,5270.0,3.7,162,30,55,no_determinado,0,sin_podcast,80,3,otros,0,sin_compras
2025-11-18,Tuesday,11,2025,4106.0,3.0,95,21,27,no_determinado,0,sin_podcast,144,5,otros,0,sin_compras
2025-11-19,Wednesday,11,2025,6844.0,4.9,183,31,47,argentina,0,sin_podcast,180,6,otros,0,sin_compras
2025-11-20,Thursday,11,2025,5886.0,4.1,181,9,2,latinoamerica,0,otros,0,0,sin_netflix,0,sin_compras
2025-11-21,Friday,11,2025,6991.0,4.7,147,68,30,argentina,0,otros,440,14,crimen_thriller,0,sin_compras
2025-11-22,Saturday,11,2025,6081.0,4.1,124,0,0,sin_musica,0,sin_podcast,61,3,crimen_thriller,0,sin_compras
2025-11-23,Sunday,11,2025,723.0,0.5,11,1,1,europa,0,sin_podcast,657,19,crimen_thriller,0,sin_compras
2025-11-24,Monday,11,2025,1230.0,0.9,23,32,10,latinoamerica,2,otros,662,26,crimen_thriller,0,sin_compras
2025-11-25,Tuesday,11,2025,4579.0,3.3,102,0,0,sin_musica,0,sin_podcast,285,9,crimen_thriller,0,sin_compras
2025-11-26,Wednesday,11,2025,6995.0,5.0,178,3,1,argentina,0,sin_podcast,77,3,crimen_thriller,0,sin_compras
2025-11-27,Thursday,11,2025,7155.0,5.1,160,0,0,sin_musica,0,sin_podcast,463,15,crimen_thriller,1,belleza
2025-11-28,Friday,11,2025,5969.0,4.1,134,0,0,sin_musica,0,sin_podcast,227,6,crimen_thriller,0,sin_compras
2025-11-29,Saturday,11,2025,3861.0,2.7,87,86,38,argentina,0,sin_podcast,269,8,crimen_thriller,0,sin_compras
2025-11-30,Sunday,11,2025,1323.0,0.8,21,45,17,usa,0,sin_podcast,317,11,crimen_thriller,0,sin_compras
2025-12-01,Monday,12,2025,3046.0,2.0,63,22,19,no_determinado,0,sin_podcast,163,8,crimen_thriller,0,sin_compras
2025-12-02,Tuesday,12,2025,5587.0,3.9,124,31,31,argentina,0,sin_podcast,164,8,crimen_thriller,0,sin_compras
2025-12-03,Wednesday,12,2025,6583.0,4.6,162,46,29,no_determinado,0,sin_podcast,246,12,crimen_thriller,0,sin_compras
2025-12-04,Thursday,12,2025,6101.0,4.1,122,90,51,usa,0,sin_podcast,258,10,crimen_thriller,0,sin_compras
2025-12-05,Friday,12,2025,8040.0,5.3,179,10,3,latinoamerica,0,sin_podcast,235,10,crimen_thriller,0,sin_compras
2025-12-06,Saturday,12,2025,3293.0,2.2,75,0,0,sin_musica,0,sin_podcast,276,7,crimen_thriller,0,sin_compras
2025-12-07,Sunday,12,2025,6625.0,4.4,153,14,28,no_determinado,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-12-08,Monday,12,2025,4418.0,2.8,118,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-12-09,Tuesday,12,2025,5296.0,3.6,148,238,65,argentina,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-12-10,Wednesday,12,2025,7283.0,4.9,204,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-12-11,Thursday,12,2025,5098.0,3.6,141,0,0,sin_musica,0,sin_podcast,172,13,crimen_thriller,0,sin_compras
2025-12-12,Friday,12,2025,3780.0,2.4,78,53,34,no_determinado,0,sin_podcast,24,3,comedia,0,sin_compras
2025-12-13,Saturday,12,2025,8695.0,5.6,177,0,1,argentina,0,sin_podcast,254,10,crimen_thriller,0,sin_compras
2025-12-14,Sunday,12,2025,520.0,0.3,7,21,10,no_determinado,0,sin_podcast,297,11,crimen_thriller,0,sin_compras
2025-12-15,Monday,12,2025,2863.0,2.0,75,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-12-16,Tuesday,12,2025,3308.0,2.3,73,58,79,argentina,0,sin_podcast,126,9,comedia,0,sin_compras
2025-12-17,Wednesday,12,2025,5402.0,3.5,132,48,22,argentina,0,sin_podcast,193,12,comedia,0,sin_compras
2025-12-18,Thursday,12,2025,6456.0,4.1,153,10,25,no_determinado,0,sin_podcast,137,8,comedia,0,sin_compras
2025-12-19,Friday,12,2025,6211.0,4.3,137,48,33,argentina,0,otros,470,26,comedia,0,sin_compras
2025-12-20,Saturday,12,2025,3122.0,1.9,50,77,21,no_determinado,0,otros,579,29,comedia,0,sin_compras
2025-12-21,Sunday,12,2025,5624.0,3.5,103,0,0,sin_musica,0,sin_podcast,256,13,comedia,0,sin_compras
2025-12-22,Monday,12,2025,6126.0,4.2,141,0,0,sin_musica,0,sin_podcast,204,8,comedia,0,sin_compras
2025-12-23,Tuesday,12,2025,7066.0,4.8,190,2,1,argentina,0,sin_podcast,196,10,comedia,3,tecnologia
2025-12-24,Wednesday,12,2025,2254.0,1.5,46,52,15,no_determinado,17,otros,271,11,ciencia_ficcion,2,hogar
2025-12-25,Thursday,12,2025,4064.0,2.8,101,0,0,sin_musica,0,sin_podcast,212,8,drama_emocional,0,sin_compras
2025-12-26,Friday,12,2025,3359.0,2.4,86,0,0,sin_musica,0,sin_podcast,376,12,drama_emocional,0,sin_compras
2025-12-27,Saturday,12,2025,4315.0,3.0,97,17,23,argentina,56,bienestar_desarrollo,0,0,sin_netflix,0,sin_compras
2025-12-28,Sunday,12,2025,4155.0,2.9,101,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-12-29,Monday,12,2025,5613.0,3.8,144,0,0,sin_musica,0,sin_podcast,52,2,otros,0,sin_compras
2025-12-30,Tuesday,12,2025,7680.0,5.4,189,0,0,sin_musica,0,sin_podcast,155,7,otros,0,sin_compras
2025-12-31,Wednesday,12,2025,4318.0,2.9,90,89,166,no_determinado,0,sin_podcast,329,20,crimen_thriller,0,sin_compras
